day,date,base_region_1,base_region_2,base_region_3,base_region_4,base_state,now_region_1,now_region_2,now_region_3,now_region_4,now_state,now_1_p,now_2_p,now_3_p,now_4_p,now_5_p
Tue,2020-02-11,12370.0,8564.8,14518.0,13613.0,12951.23319267176,13114.0,8396.0,14945.0,14227.0,13391.0,0.060145513338722756,-0.019708574631047915,0.02941176470588225,0.04510394475868651,0.03395559332350495
Wed,2020-02-12,13814.0,8532.2,15192.0,13980.0,13597.18752206451,13444.0,8751.0,14326.0,13485.0,13068.0,-0.026784421601274033,0.025644030847846944,-0.05700368615060558,-0.035407725321888406,-0.03891889563233453
Thu,2020-02-13,14193.0,8995.8,15640.0,14426.0,14031.48685051462,14116.0,9305.0,15648.0,15060.0,14213.0,-0.0054252096103712955,0.03437159563351799,0.000511508951406725,0.04394842645223895,0.012936130819145575
Fri,2020-02-14,15124.7,10081.55,16105.4,15331.0,14733.7313146875,15145.0,10099.0,16224.0,15923.0,14954.0,0.0013421753819911064,0.0017308846357950713,0.007363989717734443,0.03861457178266248,0.014949959423579351
Sat,2020-02-15,11519.8,7889.05,12944.2,12113.0,11668.44124738202,11547.0,7886.0,12944.0,12409.0,11745.0,0.0023611521033350957,-0.00038661182271626515,-1.5450935554217615e-05,0.02443655576653181,0.006561180794834698
Sun,2020-02-16,10325.4,6982.999999999999,11007.2,9804.400000000001,9986.483979820983,10430.0,7003.0,11168.0,10298.0,10160.0,0.010130358145931329,0.002864098524989478,0.0146086198124864,0.050344743176532925,0.017375086219497238
Mon,2020-02-17,13844.6,8934.4,14448.8,13216.0,13171.86761318125,13885.0,8930.0,14469.0,13376.0,13205.0,0.0029181052540341312,-0.0004924785100286488,0.0013980399756381434,0.012106537530266248,0.002515390208264412
Tue,2020-02-18,13355.3,8421.9,14532.2,13144.0,13039.51158671621,13379.0,8425.0,14578.0,13362.0,13079.0,0.0017745763854051244,0.00036808796114895515,0.0031516219154703595,0.016585514303104176,0.003028365979905079
Wed,2020-02-19,13887.9,8907.449999999999,14965.6,14366.0,13606.71421393599,13983.0,8946.0,15249.0,14776.0,13887.0,0.006847687555354032,0.004327837933415513,0.018936761640027777,0.028539607406376177,0.02059907937045824
Thu,2020-02-20,13354.7,8574.0,15085.8,14078.2,13483.35951459936,13291.0,8563.0,15088.0,14311.0,13528.0,-0.004769856305270825,-0.0012829484487987264,0.00014583250473965137,0.016536204912559693,0.0033107835886379
Fri,2020-02-21,14560.5,9184.1,15402.8,14549.2,14019.24615652866,14766.0,9317.5,15889.0,15361.0,14493.5,0.014113526321211545,0.01452510316743072,0.031565689355182114,0.055796882302806994,0.03382876926306655
Sat,2020-02-22,11245.3,7766.749999999999,12473.6,11484.6,11268.32660425745,11627.5,7912.5,13141.0,12390.0,11848.5,0.033987532569162315,0.018765893069816908,0.053505002565418236,0.0788360064782403,0.05148709441234556
Sun,2020-02-23,10075.0,7210.0,11038.0,10383.0,10077.35562002089,10260.0,6964.0,10888.0,9679.0,9862.0,0.018362282878412017,-0.03411927877947296,-0.013589418372893625,-0.0678031397476645,-0.021370251099706916
Mon,2020-02-24,13269.0,8714.0,14571.0,13726.0,13173.62837187604,13434.0,8655.0,14412.5,13636.5,13124.5,0.012434998869545577,-0.0067707137938949336,-0.010877770914830776,-0.006520472096750662,-0.003729296932417081
Tue,2020-02-25,13553.0,8858.0,14829.0,14285.0,13458.71916350137,13329.5,8513.0,14004.0,14120.5,13061.5,-0.016490813841953833,-0.03894784375705573,-0.05563423022455993,-0.011515575778788922,-0.02951389048807751
Wed,2020-02-26,13821.7,8982.0,15251.6,14698.2,13802.58097800634,13804.0,8978.0,15199.0,14755.0,13824.0,-0.0012805950064029847,-0.00044533511467381715,-0.003448818484617977,0.003864418772366651,0.0015518128115161733
Thu,2020-02-27,14326.2,9512.1,15748.0,14858.8,14253.50514578856,14354.0,9530.0,15808.0,15020.0,14340.0,0.001940500621239405,0.0018818136899316773,0.0038100076200151545,0.010848789942660364,0.006068321674335353
Fri,2020-02-28,15132.8,9992.45,16189.8,16040.2,14865.79781197874,15118.0,9988.0,16202.0,16201.0,14995.0,-0.0009780080355253906,-0.0004453362288528995,0.00075356088401346,0.010024812658196325,0.008691238079206798
